id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
217,5,6,170,,,3,103025,0,0,-1,1,267.3,3,3,0.5,0.0,0,Riyad,0.0,1,2,71.0,False,218.4,457,,,84,0,0,0,103025.jpg,5.8,0,0,Mahrez,3.7,False,,a,11,43,224.0,46,777170,3402,753804,20707,0.0,5.5,Mahrez,0
392,1,8,151,,,3,56377,0,0,0,0,205.4,1,3,2.5,3.0,2,Andriy,3.0,10,3,61.7,False,187.4,703,,,60,0,0,0,56377.jpg,4.2,0,0,Yarmolenko,4.8,False,,a,19,21,224.0,46,585363,3567,282404,41132,0.5,7.7,Yarmolenko,1
468,0,11,139,,,5,80146,0,0,1,-1,96.4,0,4,2.5,3.0,2,Jordan,3.5,12,4,60.1,False,173.8,876,,,51,0,0,0,80146.jpg,4.2,0,0,Ayew,8.2,False,,a,7,31,333.0,46,867291,20894,553964,28303,0.7,9.0,Ayew,3
212,0,2,207,0.0,0.0,5,121160,-1,1,0,0,3.0,0,1,0.0,0.0,0,Ederson,4.0,10,0,24.1,False,238.6,990,Muscle injury - Unknown return date,2019-11-06T23:00:23.402607Z,60,0,0,0,121160.jpg,4.1,0,29,Santana de Moraes,16.4,False,,i,11,43,0.0,45,760102,947,963692,197369,0.7,7.4,Ederson,3
243,2,2,148,100.0,100.0,2,200617,0,0,2,-2,184.3,0,3,5.0,5.0,2,Daniel,4.0,11,3,66.4,False,216.4,982,,2019-09-18T13:00:18.535186Z,62,0,0,0,200617.jpg,3.8,0,0,James,12.6,False,,a,12,1,266.0,45,1397137,30282,782428,42067,0.6,7.3,James,3
93,0,4,234,100.0,100.0,4,98747,0,0,2,-2,20.3,1,1,3.7,3.2,9,Nick,3.2,18,0,29.1,False,269.4,1080,,2019-07-31T00:00:11.182051Z,47,0,0,0,98747.jpg,3.8,0,37,Pope,14.8,False,,a,5,90,2.0,45,854534,27865,301413,6497,0.7,9.6,Pope,0
90,0,6,127,100.0,100.0,5,44699,0,0,-2,2,44.3,1,4,3.3,2.8,8,Ashley,2.8,14,5,57.1,False,182.6,876,,2019-10-17T13:30:19.189042Z,63,0,0,0,44699.jpg,4.1,0,0,Barnes,3.9,False,,a,5,90,363.0,45,1027935,13447,963732,7121,0.4,7.1,Barnes,3
295,0,3,216,100.0,75.0,5,108416,0,0,0,0,3.2,0,2,3.5,2.6,2,John,4.5,9,0,25.6,False,214.0,1068,,2019-11-02T18:00:15.911507Z,45,0,0,0,108416.jpg,3.8,0,0,Egan,0.4,False,,a,15,49,38.0,45,19863,2458,10796,776,1.0,10.0,Egan,0
59,1,5,249,,,3,126184,1,-1,1,-1,57.2,0,2,5.8,6.3,1,Nathan,5.8,15,1,46.7,False,290.4,1080,,,51,0,0,0,126184.jpg,3.8,0,0,Aké,14.9,False,,a,3,91,120.0,45,456746,25192,613855,22515,1.1,8.8,Aké,1
505,0,4,142,,,2,153682,0,0,0,0,119.2,1,3,4.2,4.7,10,Harry,4.2,12,4,55.8,False,186.6,711,,,60,0,0,0,153682.jpg,4.0,0,0,Wilson,2.9,False,,a,3,91,250.0,44,387589,20475,282684,4660,0.7,7.3,Harry Wilson,1
502,0,7,131,,,4,115382,-1,1,0,0,126.5,1,4,3.3,2.8,2,Neal,3.8,12,4,82.8,False,170.8,870,,,60,0,0,0,115382.jpg,3.7,0,0,Maupay,1.5,False,,a,4,36,534.0,44,181726,2332,114942,9596,0.6,7.2,Maupay,1
172,5,3,138,,,3,201666,0,0,-1,1,181.2,1,3,7.0,6.0,3,Harvey,6.5,4,1,59.2,False,158.6,636,,,59,0,0,0,201666.jpg,3.9,0,0,Barnes,1.2,False,,a,9,13,250.0,43,93570,12973,32367,6147,1.1,7.3,Barnes,0
29,3,5,190,75.0,50.0,2,114283,0,0,-1,1,324.7,1,3,1.8,1.5,0,Jack,3.5,16,2,82.5,False,293.6,893,Calf injury - 75% chance of playing,2019-10-26T18:30:22.524063Z,59,0,0,0,114283.jpg,4.3,0,0,Grealish,3.9,False,,d,2,7,206.0,43,235635,2753,360359,17925,0.6,7.3,Grealish,3
417,2,6,170,75.0,,2,159533,1,-1,2,-2,201.8,1,3,2.8,3.3,5,Adama,2.8,12,2,56.7,False,238.2,830,Hamstring injury - 75% chance of playing,2019-11-10T22:00:17.692487Z,52,0,0,0,159533.jpg,3.9,0,0,Traoré,4.3,False,,d,20,39,128.0,43,385045,19666,125789,18824,0.5,8.4,Traoré,0
123,0,3,194,,,3,74230,0,0,1,-1,138.8,1,2,0.0,0.5,1,Patrick,1.0,16,2,47.7,False,222.2,1080,,,56,1,0,0,74230.jpg,3.6,0,0,van Aanholt,10.9,False,,a,7,31,117.0,43,707331,4776,456905,35424,0.2,7.7,van Aanholt,0
235,0,5,187,100.0,100.0,2,51940,0,0,0,0,0.0,1,1,3.5,3.5,2,David,2.5,12,0,25.4,False,254.2,1080,,2019-10-15T20:30:15.609048Z,55,0,0,0,51940.jpg,3.5,0,33,de Gea,14.5,False,,a,12,1,0.0,42,780850,13631,798295,22498,0.5,7.6,de Gea,0
498,2,6,172,100.0,100.0,2,92159,1,-1,1,-1,119.2,1,2,3.5,3.0,2,Jetro,3.5,9,1,46.5,False,196.8,743,,2019-09-29T18:00:18.951779Z,46,0,0,0,92159.jpg,4.7,0,0,Willems,1.9,False,,a,13,4,148.0,42,143346,13281,32145,4785,0.8,9.1,Willems,0
423,0,1,182,,,5,40386,0,0,0,0,36.1,0,2,2.8,2.8,1,Chris,3.8,9,0,26.8,False,195.0,1044,,,45,0,0,0,40386.jpg,3.4,0,0,Basham,0.3,False,,a,15,49,35.0,41,14250,1111,8269,549,0.8,9.1,Basham,2
91,0,4,116,100.0,75.0,4,60689,0,0,-3,3,76.7,1,4,3.3,2.1,6,Chris,2.8,10,5,66.8,False,202.8,845,,2019-10-24T13:30:12.436735Z,62,1,0,0,60689.jpg,4.1,0,0,Wood,0.9,False,,a,5,90,393.0,41,116133,6680,164772,2482,0.5,6.6,Wood,1
401,2,3,132,100.0,100.0,2,87835,0,0,0,0,68.6,1,2,2.5,3.0,2,Matt,2.5,8,1,42.4,False,116.8,707,,2019-11-02T18:00:16.116872Z,60,0,0,0,87835.jpg,3.6,0,0,Doherty,3.2,False,,a,20,39,238.0,40,149688,6087,192753,6724,0.4,6.7,Doherty,0
141,3,4,227,100.0,100.0,3,101188,0,0,-1,1,457.6,1,2,3.7,3.7,2,Lucas,3.2,18,0,84.9,False,253.2,1062,,2019-08-17T16:00:09.148104Z,59,1,0,0,101188.jpg,3.3,0,0,Digne,17.7,False,,a,8,11,137.0,40,906030,12656,1336893,34250,0.5,6.8,Digne,1
183,0,3,206,100.0,100.0,2,97032,0,0,-1,1,42.0,0,2,2.8,1.8,2,Virgil,1.8,10,1,42.7,False,280.8,1080,,2019-10-27T20:00:16.725016Z,64,0,0,0,97032.jpg,3.3,0,0,van Dijk,40.2,False,,a,10,14,103.0,40,623254,15046,1420199,64652,0.3,6.2,van Dijk,1
262,0,1,208,,,3,67089,0,0,0,0,0.0,0,1,2.8,2.3,2,Martin,2.8,18,0,28.5,False,283.4,1080,,,50,0,0,0,67089.jpg,3.3,0,38,Dubravka,1.0,False,,a,13,4,0.0,40,38684,1576,42120,1691,0.6,8.0,Dubravka,0
30,3,0,135,100.0,100.0,2,193488,0,0,0,0,183.1,0,3,1.5,1.0,2,Anwar,1.5,14,2,69.3,False,209.6,745,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,3.6,0,0,El Ghazi,1.6,False,,a,2,7,302.0,40,171774,5835,98488,8283,0.3,7.3,El Ghazi,1
176,0,3,193,100.0,100.0,5,203341,0,0,0,0,97.6,0,3,3.3,2.3,3,Wilfred,2.8,7,2,46.4,False,294.4,990,,2019-08-27T11:00:13.484600Z,50,0,0,0,203341.jpg,3.5,0,0,Ndidi,3.2,False,,a,9,13,70.0,39,319850,13261,228819,10921,0.6,7.8,Ndidi,1
49,3,2,166,,,3,60307,0,0,-1,1,432.0,0,3,4.0,3.5,4,Pascal,4.5,10,1,81.4,False,187.6,778,,,64,0,0,0,60307.jpg,3.2,0,0,Groß,0.7,False,,a,4,36,194.0,39,81296,1765,91158,1994,0.7,6.1,Groß,0
287,2,2,127,100.0,100.0,1,193111,0,0,2,-2,206.2,0,3,1.0,1.5,1,Todd,1.5,22,2,66.5,False,191.8,844,,2019-11-01T14:00:13.080575Z,47,0,0,0,193111.jpg,3.2,0,0,Cantwell,17.5,False,,a,14,45,273.0,39,2200642,12271,1138345,84125,0.3,8.3,Cantwell,1
283,4,3,174,,,1,195546,0,0,0,0,423.2,1,3,1.7,2.2,2,Emiliano,2.2,27,0,88.7,False,271.0,1043,,,60,0,0,0,195546.jpg,3.2,0,0,Buendía,1.1,False,,a,14,45,191.0,39,179871,535,153620,6635,0.4,6.5,Buendía,1
84,1,6,212,100.0,100.0,4,17761,0,0,0,0,54.1,1,2,3.7,3.2,12,James,3.2,18,0,43.6,False,268.4,1080,,2019-08-03T18:30:13.047591Z,50,0,0,0,17761.jpg,3.2,0,0,Tarkowski,1.6,False,,a,5,90,114.0,39,60860,9547,68130,1779,0.6,7.8,Tarkowski,3
